SEF	1.0.0												
1837	12	25	17	23	0	1019.4	orig=30.22In|orig.time=8:00PM|orig.date=1837-12-13|atb=18R						
1837	12	25	19	23	0	1019.2	orig=30.22In|orig.time=10:00PM|orig.date=1837-12-13|atb=19R						
1837	12	26	5	23	0	1016.7	orig=30.07In|orig.time=8:00AM|orig.date=1837-12-14|atb=8R						
1837	12	26	7	23	0	1015.8	orig=30.07In|orig.time=10:00AM|orig.date=1837-12-14|atb=12R						
1837	12	26	9	23	0	1014.8	orig=30.07In|orig.time=12:00AM|orig.date=1837-12-14|atb=16R						
1837	12	26	11	23	0	1013.7	orig=30.05In|orig.time=2:00PM|orig.date=1837-12-14|atb=18R						
1837	12	26	13	23	0	1013.4	orig=30.04In|orig.time=4:00PM|orig.date=1837-12-14|atb=17.75R						
1837	12	26	15	23	0	1012.9	orig=30.02In|orig.time=6:00PM|orig.date=1837-12-14|atb=17R						
1837	12	26	17	23	0	1012.6	orig=30.01In|orig.time=8:00PM|orig.date=1837-12-14|atb=17R						
1837	12	26	19	23	0	1011.5	orig=29.97In|orig.time=10:00PM|orig.date=1837-12-14|atb=16R						
1837	12	27	5	23	0	1007.5	orig=29.78In|orig.time=8:00AM|orig.date=1837-12-15|atb=6.5R						
1837	12	27	7	23	0	1005.8	orig=29.76In|orig.time=10:00AM|orig.date=1837-12-15|atb=10R						
1837	12	27	9	23	0	1004.4	orig=29.76In|orig.time=12:00AM|orig.date=1837-12-15|atb=16R						
1837	12	27	11	23	0	1003.9	orig=29.74In|orig.time=2:00PM|orig.date=1837-12-15|atb=15R						
1837	12	27	13	23	0	1003.8	orig=29.74In|orig.time=4:00PM|orig.date=1837-12-15|atb=15.5R						
1837	12	27	15	23	0	1002.8	orig=29.71In|orig.time=6:00PM|orig.date=1837-12-15|atb=15.75R						
1837	12	27	17	23	0	1001.7	orig=29.67In|orig.time=8:00PM|orig.date=1837-12-15|atb=14.25R						
1837	12	27	19	23	0	1001.1	orig=29.63In|orig.time=10:00PM|orig.date=1837-12-15|atb=11R						
1837	12	28	5	23	0	1000.1	orig=29.56In|orig.time=8:00AM|orig.date=1837-12-16|atb=5R						
1837	12	28	7	23	0	999.7	orig=29.56In|orig.time=10:00AM|orig.date=1837-12-16|atb=7R						
1837	12	28	9	23	0	999.3	orig=29.62In|orig.time=12:00AM|orig.date=1837-12-16|atb=17.5R						
1837	12	28	11	23	0	1000.3	orig=29.63In|orig.time=2:00PM|orig.date=1837-12-16|atb=14.5R						
1837	12	28	13	23	0	1002.7	orig=29.67In|orig.time=4:00PM|orig.date=1837-12-16|atb=10R						
1837	12	28	15	23	0	1004.1	orig=29.73In|orig.time=6:00PM|orig.date=1837-12-16|atb=13R						
1837	12	28	17	23	0	1005	orig=29.77In|orig.time=8:00PM|orig.date=1837-12-16|atb=15R						
1837	12	28	19	23	0	1006.7	orig=29.83In|orig.time=10:00PM|orig.date=1837-12-16|atb=16R						
1837	12	29	5	23	0	1015.5	orig=30In|orig.time=8:00AM|orig.date=1837-12-17|atb=3R						
1837	12	29	7	23	0	1017.6	orig=30.07In|orig.time=10:00AM|orig.date=1837-12-17|atb=4R						
1837	12	29	9	23	0	1015	orig=30.04In|orig.time=12:00AM|orig.date=1837-12-17|atb=11R						
1837	12	29	11	23	0	1020.4	orig=30.22In|orig.time=2:00PM|orig.date=1837-12-17|atb=14R						
1837	12	29	13	23	0	1022.8	orig=30.3In|orig.time=4:00PM|orig.date=1837-12-17|atb=15R						
1837	12	29	15	23	0	1024.3	orig=30.36In|orig.time=6:00PM|orig.date=1837-12-17|atb=17.25R						
1837	12	29	17	23	0	1026.2	orig=30.42In|orig.time=8:00PM|orig.date=1837-12-17|atb=18R						
1837	12	29	19	23	0	1027.5	orig=30.46In|orig.time=10:00PM|orig.date=1837-12-17|atb=18R						
1837	12	30	5	23	0	1032	orig=30.48In|orig.time=8:00AM|orig.date=1837-12-18|atb=2R						
1837	12	30	7	23	0	1033	orig=30.51In|orig.time=10:00AM|orig.date=1837-12-18|atb=2R						
1837	12	30	9	23	0	1031.9	orig=30.55In|orig.time=12:00AM|orig.date=1837-12-18|atb=12.5R						
1837	12	30	11	23	0	1032.2	orig=30.56In|orig.time=2:00PM|orig.date=1837-12-18|atb=12.5R						
1837	12	30	13	23	0	1034.7	orig=30.64In|orig.time=4:00PM|orig.date=1837-12-18|atb=13.5R						
1837	12	30	15	23	0	1035.1	orig=30.64In|orig.time=6:00PM|orig.date=1837-12-18|atb=11.5R						
1837	12	30	17	23	0	1034.4	orig=30.64In|orig.time=8:00PM|orig.date=1837-12-18|atb=14.5R						
1837	12	30	19	23	0	1034.7	orig=30.64In|orig.time=10:00PM|orig.date=1837-12-18|atb=13.5R						
1837	12	31	5	23	0	1034	orig=30.54In|orig.time=8:00AM|orig.date=1837-12-19|atb=2R						
1837	12	31	7	23	0	1034.5	orig=30.54In|orig.time=10:00AM|orig.date=1837-12-19|atb=0R						
1837	12	31	9	23	0	1033.9	orig=30.52In|orig.time=12:00AM|orig.date=1837-12-19|atb=-0.5R						
1837	12	31	11	23	0	1032.7	orig=30.48In|orig.time=2:00PM|orig.date=1837-12-19|atb=-1R						
1837	12	31	13	23	0	1032.8	orig=30.48In|orig.time=4:00PM|orig.date=1837-12-19|atb=-1.5R						
1837	12	31	15	23	0	1031.6	orig=30.44In|orig.time=6:00PM|orig.date=1837-12-19|atb=-2R						
1837	12	31	17	23	0	1030.1	orig=30.43In|orig.time=8:00PM|orig.date=1837-12-19|atb=2.75R						
1837	12	31	19	23	0	1028.9	orig=30.4In|orig.time=10:00PM|orig.date=1837-12-19|atb=3.5R						
1838	1	1	5	23	0	1025.4	orig=30.23In|orig.time=8:00AM|orig.date=1837-12-20|atb=-6R					g	
1838	1	1	7	23	0	1025	orig=30.22In|orig.time=10:00AM|orig.date=1837-12-20|atb=-6R						
1838	1	1	9	23	0	1022.7	orig=30.15In|orig.time=12:00AM|orig.date=1837-12-20|atb=-6R						
1838	1	1	11	23	0	1021.3	orig=30.11In|orig.time=2:00PM|orig.date=1837-12-20|atb=-6R						
1838	1	1	13	23	0	1013.1	orig=29.95In|orig.time=4:00PM|orig.date=1837-12-20|atb=6R						
1838	1	1	15	23	0	1012.6	orig=29.95In|orig.time=6:00PM|orig.date=1837-12-20|atb=8R						
1838	1	1	17	23	0	1011.4	orig=29.95In|orig.time=8:00PM|orig.date=1837-12-20|atb=13.5R						
1838	1	1	19	23	0	1011.1	orig=29.95In|orig.time=10:00PM|orig.date=1837-12-20|atb=14.5R						
1838	1	2	5	23	0	1011.8	orig=29.89In|orig.time=8:00AM|orig.date=1837-12-21|atb=3R						
1838	1	2	7	23	0	1011.1	orig=29.89In|orig.time=10:00AM|orig.date=1837-12-21|atb=6R						
1838	1	2	9	23	0	1009.7	orig=29.91In|orig.time=12:00AM|orig.date=1837-12-21|atb=15R						
1838	1	2	11	23	0	1009.7	orig=29.91In|orig.time=2:00PM|orig.date=1837-12-21|atb=15R						
1838	1	2	13	23	0	1009.8	orig=29.91In|orig.time=4:00PM|orig.date=1837-12-21|atb=14.5R						
1838	1	2	15	23	0	1011.3	orig=29.91In|orig.time=6:00PM|orig.date=1837-12-21|atb=8R						
1838	1	2	17	23	0	1009.8	orig=29.94In|orig.time=8:00PM|orig.date=1837-12-21|atb=19R						
1838	1	2	19	23	0	1009.9	orig=29.95In|orig.time=10:00PM|orig.date=1837-12-21|atb=20R						
1838	1	3	5	23	0	1013.4	orig=29.96In|orig.time=8:00AM|orig.date=1837-12-22|atb=6R						
1838	1	3	7	23	0	1013.2	orig=29.96In|orig.time=10:00AM|orig.date=1837-12-22|atb=7R						
1838	1	3	9	23	0	1015.1	orig=30.05In|orig.time=12:00AM|orig.date=1837-12-22|atb=12R						
1838	1	3	11	23	0	1015	orig=30.06In|orig.time=2:00PM|orig.date=1837-12-22|atb=14R						
1838	1	3	13	23	0	1016.3	orig=30.1In|orig.time=4:00PM|orig.date=1837-12-22|atb=14R						
1838	1	3	15	23	0	1016.8	orig=30.12In|orig.time=6:00PM|orig.date=1837-12-22|atb=15R						
1838	1	3	17	23	0	1017.8	orig=30.17In|orig.time=8:00PM|orig.date=1837-12-22|atb=18R						
1838	1	3	19	23	0	1018.3	orig=30.18In|orig.time=10:00PM|orig.date=1837-12-22|atb=17R						
1838	1	4	5	23	0	1021.4	orig=30.18In|orig.time=8:00AM|orig.date=1837-12-23|atb=4R						
1838	1	4	7	23	0	1020.9	orig=30.18In|orig.time=10:00AM|orig.date=1837-12-23|atb=6R						
1838	1	4	9	23	0	1021.5	orig=30.26In|orig.time=12:00AM|orig.date=1837-12-23|atb=15R						
1838	1	4	11	23	0	1021.7	orig=30.28In|orig.time=2:00PM|orig.date=1837-12-23|atb=17R						
1838	1	4	13	23	0	1022.8	orig=30.32In|orig.time=4:00PM|orig.date=1837-12-23|atb=18R						
1838	1	4	15	23	0	1023.1	orig=30.32In|orig.time=6:00PM|orig.date=1837-12-23|atb=17R						
1838	1	4	17	23	0	1023	orig=30.33In|orig.time=8:00PM|orig.date=1837-12-23|atb=18.5R						
1838	1	4	19	23	0	1023	orig=30.34In|orig.time=10:00PM|orig.date=1837-12-23|atb=20R						
1838	1	5	5	23	0	1023.5	orig=30.25In|orig.time=8:00AM|orig.date=1837-12-24|atb=5R						
1838	1	5	7	23	0	1022.6	orig=30.23In|orig.time=10:00AM|orig.date=1837-12-24|atb=6R						
1838	1	5	9	23	0	1020.6	orig=30.23In|orig.time=12:00AM|orig.date=1837-12-24|atb=14.5R						
1838	1	5	11	23	0	1019.9	orig=30.22In|orig.time=2:00PM|orig.date=1837-12-24|atb=16R						
1838	1	5	13	23	0	1019.3	orig=30.21In|orig.time=4:00PM|orig.date=1837-12-24|atb=17R						
1838	1	5	15	23	0	1018.8	orig=30.18In|orig.time=6:00PM|orig.date=1837-12-24|atb=15R						
1838	1	5	17	23	0	1017.4	orig=30.16In|orig.time=8:00PM|orig.date=1837-12-24|atb=18R						
1838	1	5	19	23	0	1016.5	orig=30.12In|orig.time=10:00PM|orig.date=1837-12-24|atb=16R						
1838	1	6	5	23	0	1017.1	orig=30.04In|orig.time=8:00AM|orig.date=1837-12-25|atb=2R						
1838	1	6	7	23	0	1016.1	orig=30.04In|orig.time=10:00AM|orig.date=1837-12-25|atb=6R						
1838	1	6	9	23	0	1014.6	orig=30.05In|orig.time=12:00AM|orig.date=1837-12-25|atb=14R						
1838	1	6	11	23	0	1015.2	orig=30.08In|orig.time=2:00PM|orig.date=1837-12-25|atb=16R						
1838	1	6	13	23	0	1016.8	orig=30.12In|orig.time=4:00PM|orig.date=1837-12-25|atb=15R						
1838	1	6	15	23	0	1017.9	orig=30.16In|orig.time=6:00PM|orig.date=1837-12-25|atb=16R						
1838	1	6	17	23	0	1019.7	orig=30.22In|orig.time=8:00PM|orig.date=1837-12-25|atb=17R						
1838	1	6	19	23	0	1019.7	orig=30.22In|orig.time=10:00PM|orig.date=1837-12-25|atb=17R						
1838	1	7	5	23	0	1024.6	orig=30.27In|orig.time=8:00AM|orig.date=1837-12-26|atb=3R						
1838	1	7	7	23	0	1024.6	orig=30.28In|orig.time=10:00AM|orig.date=1837-12-26|atb=4.75R						
1838	1	7	9	23	0	1025	orig=30.35In|orig.time=12:00AM|orig.date=1837-12-26|atb=13R						
1838	1	7	11	23	0	1025.1	orig=30.35In|orig.time=2:00PM|orig.date=1837-12-26|atb=12.5R						
1838	1	7	13	23	0	1025.1	orig=30.37In|orig.time=4:00PM|orig.date=1837-12-26|atb=15.5R						
1838	1	7	15	23	0	1024.6	orig=30.37In|orig.time=6:00PM|orig.date=1837-12-26|atb=17.5R						
1838	1	7	17	23	0	1025.2	orig=30.37In|orig.time=8:00PM|orig.date=1837-12-26|atb=15R						
1838	1	7	19	23	0	1025.2	orig=30.38In|orig.time=10:00PM|orig.date=1837-12-26|atb=16.5R						
1838	1	8	5	23	0	1022.9	orig=30.22In|orig.time=8:00AM|orig.date=1837-12-27|atb=3R						
1838	1	8	7	23	0	1022.7	orig=30.22In|orig.time=10:00AM|orig.date=1837-12-27|atb=4R						
1838	1	8	9	23	0	1029.6	orig=30.52In|orig.time=12:00AM|orig.date=1837-12-27|atb=18R						
1838	1	8	11	23	0	1031.7	orig=30.52In|orig.time=2:00PM|orig.date=1837-12-27|atb=9R						
1838	1	8	13	23	0	1024.7	orig=30.32In|orig.time=4:00PM|orig.date=1837-12-27|atb=10R						
1838	1	8	15	23	0	1024.2	orig=30.32In|orig.time=6:00PM|orig.date=1837-12-27|atb=12R						
1838	1	8	17	23	0	1023.9	orig=30.32In|orig.time=8:00PM|orig.date=1837-12-27|atb=13.5R						
1838	1	8	19	23	0	1024.2	orig=30.32In|orig.time=10:00PM|orig.date=1837-12-27|atb=12R						
1838	1	9	5	23	0	1026	orig=30.29In|orig.time=8:00AM|orig.date=1837-12-28|atb=0R						
1838	1	9	7	23	0	1025.9	orig=30.28In|orig.time=10:00AM|orig.date=1837-12-28|atb=-1R						
1838	1	9	9	23	0	1023.3	orig=30.28In|orig.time=12:00AM|orig.date=1837-12-28|atb=10R						
1838	1	9	11	23	0	1022.6	orig=30.28In|orig.time=2:00PM|orig.date=1837-12-28|atb=13R						
1838	1	9	13	23	0	1023.1	orig=30.3In|orig.time=4:00PM|orig.date=1837-12-28|atb=14R						
1838	1	9	15	23	0	1023.8	orig=30.3In|orig.time=6:00PM|orig.date=1837-12-28|atb=11R						
1838	1	9	17	23	0	1023.8	orig=30.3In|orig.time=8:00PM|orig.date=1837-12-28|atb=11R						
1838	1	9	19	23	0	1023.8	orig=30.3In|orig.time=10:00PM|orig.date=1837-12-28|atb=11R						
1838	1	10	5	23	0	1027.2	orig=30.34In|orig.time=8:00AM|orig.date=1837-12-29|atb=2R						
1838	1	10	7	23	0	1027.8	orig=30.35In|orig.time=10:00AM|orig.date=1837-12-29|atb=1R						
1838	1	10	9	23	0	1026.2	orig=30.38In|orig.time=12:00AM|orig.date=1837-12-29|atb=12R						
1838	1	10	11	23	0	1029.3	orig=30.49In|orig.time=2:00PM|orig.date=1837-12-29|atb=15R						
1838	1	10	13	23	0	1029.6	orig=30.49In|orig.time=4:00PM|orig.date=1837-12-29|atb=13.5R						
1838	1	10	15	23	0	1026.9	orig=30.42In|orig.time=6:00PM|orig.date=1837-12-29|atb=15R						
1838	1	10	17	23	0	1027	orig=30.45In|orig.time=8:00PM|orig.date=1837-12-29|atb=19R						
1838	1	10	19	23	0	1027	orig=30.45In|orig.time=10:00PM|orig.date=1837-12-29|atb=19R						
1838	1	11	5	23	0	1029.6	orig=30.41In|orig.time=8:00AM|orig.date=1837-12-30|atb=2R						
1838	1	11	7	23	0	1030	orig=30.41In|orig.time=10:00AM|orig.date=1837-12-30|atb=0.25R						
1838	1	11	9	23	0	1030.1	orig=30.41In|orig.time=12:00AM|orig.date=1837-12-30|atb=-0.25R						
1838	1	11	11	23	0	1028.6	orig=30.36In|orig.time=2:00PM|orig.date=1837-12-30|atb=-1R						
1838	1	11	13	23	0	1028.8	orig=30.36In|orig.time=4:00PM|orig.date=1837-12-30|atb=-1.75R						
1838	1	11	15	23	0	1027.8	orig=30.36In|orig.time=6:00PM|orig.date=1837-12-30|atb=2.5R						
1838	1	11	17	23	0	1027.3	orig=30.35In|orig.time=8:00PM|orig.date=1837-12-30|atb=3R						
1838	1	11	19	23	0	1026.5	orig=30.33In|orig.time=10:00PM|orig.date=1837-12-30|atb=3.5R						
1838	1	12	5	23	0	1025.4	orig=30.23In|orig.time=8:00AM|orig.date=1837-12-31|atb=-6R						
1838	1	12	7	23	0	1024.9	orig=30.21In|orig.time=10:00AM|orig.date=1837-12-31|atb=-7R						
1838	1	12	9	23	0	1023.6	orig=30.17In|orig.time=12:00AM|orig.date=1837-12-31|atb=-7R						
1838	1	12	11	23	0	1022.6	orig=30.14In|orig.time=2:00PM|orig.date=1837-12-31|atb=-7R						
1838	1	12	13	23	0	1022.6	orig=30.14In|orig.time=4:00PM|orig.date=1837-12-31|atb=-7R						
1838	1	12	15	23	0	1018.6	orig=30.12In|orig.time=6:00PM|orig.date=1837-12-31|atb=7R						
1838	1	12	17	23	0	1018.2	orig=30.11In|orig.time=8:00PM|orig.date=1837-12-31|atb=7.5R						
1838	1	12	19	23	0	1018.2	orig=30.11In|orig.time=10:00PM|orig.date=1837-12-31|atb=7.5R						
1838	1	13	5	23	0	1031.2	orig=30.5In|orig.time=8:00AM|orig.date=1838-01-01|atb=8R						
1838	1	13	7	23	0	1031.2	orig=30.5In|orig.time=10:00AM|orig.date=1838-01-01|atb=8R						
1838	1	13	9	23	0	1031.1	orig=30.5In|orig.time=12:00AM|orig.date=1838-01-01|atb=8.5R						
1838	1	13	11	23	0	1031.2	orig=30.5In|orig.time=2:00PM|orig.date=1838-01-01|atb=8.25R						
1838	1	13	13	23	0	1031.2	orig=30.5In|orig.time=4:00PM|orig.date=1838-01-01|atb=8R						
1838	1	13	15	23	0	1031.1	orig=30.5In|orig.time=6:00PM|orig.date=1838-01-01|atb=8.75R						
1838	1	13	17	23	0	1033	orig=30.5In|orig.time=8:00PM|orig.date=1838-01-01|atb=0.5R						
1838	1	13	19	23	0	1033	orig=30.5In|orig.time=10:00PM|orig.date=1838-01-01|atb=0.5R						
1838	1	14	5	23	0	1031.1	orig=30.5In|orig.time=8:00AM|orig.date=1838-01-02|atb=8.5R						
1838	1	14	7	23	0	1027.7	orig=30.4In|orig.time=10:00AM|orig.date=1838-01-02|atb=8.5R						
1838	1	14	9	23	0	1013.5	orig=29.98In|orig.time=12:00AM|orig.date=1838-01-02|atb=8.75R						
1838	1	14	11	23	0	1013	orig=29.96In|orig.time=2:00PM|orig.date=1838-01-02|atb=8R						
1838	1	14	13	23	0	1012.7	orig=29.95In|orig.time=4:00PM|orig.date=1838-01-02|atb=7.75R						
1838	1	14	15	23	0	1012.7	orig=29.95In|orig.time=6:00PM|orig.date=1838-01-02|atb=8.75R						
1838	1	14	17	23	0	1012.7	orig=29.95In|orig.time=8:00PM|orig.date=1838-01-02|atb=8R						
1838	1	14	19	23	0	1012.7	orig=29.95In|orig.time=10:00PM|orig.date=1838-01-02|atb=8R						
1838	1	15	5	23	0	1012.6	orig=29.95In|orig.time=8:00AM|orig.date=1838-01-03|atb=8R						
1838	1	15	7	23	0	1012.6	orig=29.95In|orig.time=10:00AM|orig.date=1838-01-03|atb=8.3R						
1838	1	15	9	23	0	1012.8	orig=29.95In|orig.time=12:00AM|orig.date=1838-01-03|atb=7.5R						
1838	1	15	11	23	0	1012.4	orig=29.94In|orig.time=2:00PM|orig.date=1838-01-03|atb=7.5R						
1838	1	15	13	23	0	1012.4	orig=29.94In|orig.time=4:00PM|orig.date=1838-01-03|atb=7.5R						
1838	1	15	15	23	0	1012.4	orig=29.94In|orig.time=6:00PM|orig.date=1838-01-03|atb=7.5R						
1838	1	15	17	23	0	1012.3	orig=29.94In|orig.time=8:00PM|orig.date=1838-01-03|atb=8R						
1838	1	15	19	23	0	1012.2	orig=29.94In|orig.time=10:00PM|orig.date=1838-01-03|atb=8.5R						
1838	1	16	5	23	0	1012.3	orig=29.94In|orig.time=8:00AM|orig.date=1838-01-04|atb=8R						
1838	1	16	7	23	0	1012.2	orig=29.94In|orig.time=10:00AM|orig.date=1838-01-04|atb=8.25R						
1838	1	16	9	23	0	1012.3	orig=29.94In|orig.time=12:00AM|orig.date=1838-01-04|atb=8R						
1838	1	16	11	23	0	1012.3	orig=29.94In|orig.time=2:00PM|orig.date=1838-01-04|atb=8R						
1838	1	16	13	23	0	1012.6	orig=29.95In|orig.time=4:00PM|orig.date=1838-01-04|atb=8R						
1838	1	16	15	23	0	1012.5	orig=29.95In|orig.time=6:00PM|orig.date=1838-01-04|atb=8.5R						
1838	1	16	17	23	0	1012.5	orig=29.95In|orig.time=8:00PM|orig.date=1838-01-04|atb=8.5R						
1838	1	16	19	23	0	1012.9	orig=29.96In|orig.time=10:00PM|orig.date=1838-01-04|atb=8.25R						
1838	1	17	5	23	0	1013	orig=29.96In|orig.time=8:00AM|orig.date=1838-01-05|atb=8R						
1838	1	17	7	23	0	1012.8	orig=29.96In|orig.time=10:00AM|orig.date=1838-01-05|atb=9R						
1838	1	17	9	23	0	1012.6	orig=29.96In|orig.time=12:00AM|orig.date=1838-01-05|atb=9.5R						
1838	1	17	11	23	0	1012.6	orig=29.96In|orig.time=2:00PM|orig.date=1838-01-05|atb=9.75R						
1838	1	17	13	23	0	1012.8	orig=29.96In|orig.time=4:00PM|orig.date=1838-01-05|atb=9R						
1838	1	17	15	23	0	1012.8	orig=29.96In|orig.time=6:00PM|orig.date=1838-01-05|atb=9R						
1838	1	17	17	23	0	1012.8	orig=29.96In|orig.time=8:00PM|orig.date=1838-01-05|atb=9R						
1838	1	17	19	23	0	1012.8	orig=29.96In|orig.time=10:00PM|orig.date=1838-01-05|atb=9R						
1838	1	18	5	23	0	1013.9	orig=30In|orig.time=8:00AM|orig.date=1838-01-06|atb=10R						
1838	1	18	7	23	0	1024	orig=30.3In|orig.time=10:00AM|orig.date=1838-01-06|atb=10R						
1838	1	18	9	23	0	1024	orig=30.3In|orig.time=12:00AM|orig.date=1838-01-06|atb=10R						
1838	1	18	11	23	0	1024.4	orig=30.3In|orig.time=2:00PM|orig.date=1838-01-06|atb=8.3R						
1838	1	18	13	23	0	1031.5	orig=30.5In|orig.time=4:00PM|orig.date=1838-01-06|atb=7R						
1838	1	18	15	23	0	1017.1	orig=30.11In|orig.time=6:00PM|orig.date=1838-01-06|atb=12R						
1838	1	18	17	23	0	1018.5	orig=30.11In|orig.time=8:00PM|orig.date=1838-01-06|atb=6R						
1838	1	18	19	23	0	1017.9	orig=30.11In|orig.time=10:00PM|orig.date=1838-01-06|atb=8.5R						
1838	1	19	5	23	0	1018.1	orig=30.11In|orig.time=8:00AM|orig.date=1838-01-07|atb=8R						
1838	1	19	7	23	0	1018.6	orig=30.13In|orig.time=10:00AM|orig.date=1838-01-07|atb=8.5R						
1838	1	19	9	23	0	1018.6	orig=30.13In|orig.time=12:00AM|orig.date=1838-01-07|atb=8.5R						
1838	1	19	11	23	0	1019.3	orig=30.15In|orig.time=2:00PM|orig.date=1838-01-07|atb=8.5R						
1838	1	19	13	23	0	1023.9	orig=30.28In|orig.time=4:00PM|orig.date=1838-01-07|atb=7.75R						
1838	1	19	15	23	0	1025.4	orig=30.31In|orig.time=6:00PM|orig.date=1838-01-07|atb=5.5R						
1838	1	19	17	23	0	1026.2	orig=30.36In|orig.time=8:00PM|orig.date=1838-01-07|atb=9.5R						
1838	1	19	19	23	0	1026.5	orig=30.37In|orig.time=10:00PM|orig.date=1838-01-07|atb=9.5R						
1838	1	20	5	23	0	1025.6	orig=30.33In|orig.time=8:00AM|orig.date=1838-01-08|atb=7.5R						
1838	1	20	7	23	0	1025.5	orig=30.33In|orig.time=10:00AM|orig.date=1838-01-08|atb=8R						
1838	1	20	9	23	0	1025.2	orig=30.32In|orig.time=12:00AM|orig.date=1838-01-08|atb=8R						
1838	1	20	11	23	0	1025.9	orig=30.32In|orig.time=2:00PM|orig.date=1838-01-08|atb=5R						
